trial,start_time,rt,correct,fact_id,question,answer,alpha
1,300.0,300.0,True,0,q,q,0.3
2,899.9999999999999,1092.0740629173836,True,0,q,q,0.3
3,2892.0740629173833,300.0,True,1,q,q,0.3
4,3492.0740629173833,1639.9668255526276,True,1,q,q,0.3
5,6032.040888470011,300.0,True,2,q,q,0.3
6,6932.04088847001,300.0,True,3,q,q,0.3
7,7532.04088847001,1288.021369188674,True,2,q,q,0.3
8,9420.062257658683,1300.8475065818138,True,3,q,q,0.3
9,11320.909764240498,1332.1555490568378,True,0,q,q,0.250390625
10,13253.065313297335,1647.507835538158,True,1,q,q,0.308984375
11,15500.57314883549,1103.6414757179787,True,2,q,q,0.250390625
12,17204.21462455347,1260.5545956085843,True,3,q,q,0.250390625
13,19064.76922016206,980.3127540895105,True,1,q,q,0.30859375
14,20645.08197425157,1242.6393668609935,True,0,q,q,0.22499999999999998
15,22487.721341112563,1042.86995728222,True,1,q,q,0.308984375
16,24130.591298394786,1439.5391610516258,True,2,q,q,0.25078124999999996
17,26170.130459446416,1214.770079787183,True,3,q,q,0.25078124999999996
18,27984.9005392336,1053.9745168700908,True,1,q,q,0.31015625
19,29638.875056103694,961.6845670797765,True,2,q,q,0.21757812499999996
20,31200.559623183468,1503.45532554064,True,0,q,q,0.24726562499999996
21,33304.01494872411,1058.9868013649,True,1,q,q,0.310546875
22,34963.00175008901,1317.2627039932402,True,3,q,q,0.262109375
23,36880.26445408226,1537.8152108655129,True,0,q,q,0.24765624999999997
24,39018.07966494777,1049.110157971935,True,1,q,q,0.33125000000000004
25,40667.18982291971,1307.7418054489508,True,3,q,q,0.26249999999999996
26,42574.93162836866,692.4495069346681,True,1,q,q,0.33085937500000007
27,43867.38113530332,1393.798630796709,True,2,q,q,0.2671874999999999
28,45861.17976610004,814.2083899299355,True,1,q,q,0.3304687500000001
29,47275.38815602998,1122.7848396510612,True,2,q,q,0.31679687499999987
30,48998.17299568104,974.5431274628078,True,0,q,q,0.24648437499999998
31,50572.71612314385,802.7001794329578,True,2,q,q,0.3164062499999999
32,51975.416302576814,916.6897340482632,True,3,q,q,0.262109375
33,53492.106036625075,869.2171168183014,True,1,q,q,0.30585937500000004
34,54961.32315344337,776.499588237961,True,2,q,q,0.26679687499999993
35,56337.82274168134,943.5190095493324,True,0,q,q,0.24609374999999997
36,57881.34175123067,1077.1502995856808,True,3,q,q,0.31171874999999993
37,59558.492050816356,841.1155902535892,True,1,q,q,0.28125
